Barrio;Año;Trimestre;Valor;Ambientes;Estado
Villa Gral. Mitre;2021;2;2091.79;3;Usado
Villa Lugano;2021;2;1126.53;3;Usado
Villa Luro;2021;2;;3;Usado
Villa Ortúzar;2021;2;2533.66;3;Usado
Villa Pueyrredón;2021;2;2407.64;3;Usado
Villa Santa Rita;2021;2;2202.17;3;Usado
Villa Urquiza;2021;2;2821.99;3;Usado
Almagro;2021;3;2187.22;3;Usado
Balvanera;2021;3;1831.04;3;Usado
Barracas;2021;3;2138.71;3;Usado
Belgrano;2021;3;2729.08;3;Usado
Boca;2021;3;1562.5;3;Usado
Boedo;2021;3;2062.05;3;Usado
Caballito;2021;3;2347.16;3;Usado
Chacarita;2021;3;;3;Usado
Coghlan;2021;3;2774.01;3;Usado
Colegiales;2021;3;2629.85;3;Usado
Constitución;2021;3;1594.55;3;Usado
Flores;2021;3;1929.5;3;Usado
Floresta;2021;3;1939.08;3;Usado
Liniers;2021;3;2090.87;3;Usado
Mataderos;2021;3;1846.05;3;Usado
Monte Castro;2021;3;2117.53;3;Usado
Montserrat;2021;3;1797.42;3;Usado
Nueva Pompeya;2021;3;1542.14;3;Usado
Núñez;2021;3;2808.27;3;Usado
Palermo;2021;3;2850.5;3;Usado
Parque Avellaneda;2021;3;1431.77;3;Usado
Parque Chacabuco;2021;3;2228.26;3;Usado
Parque Patricios;2021;3;1780.6;3;Usado
Puerto Madero;2021;3;;3;Usado
Recoleta;2021;3;2683.98;3;Usado
Retiro;2021;3;2546.6;3;Usado
Saavedra;2021;3;2633.75;3;Usado
San Cristóbal;2021;3;1866.4;3;Usado
San Nicolás;2021;3;1915.51;3;Usado
San Telmo;2021;3;2031.95;3;Usado
Vélez Sarsfield;2021;3;1886.94;3;Usado
Villa Crespo;2021;3;2209.02;3;Usado
Villa del Parque;2021;3;2262.64;3;Usado
Villa Devoto;2021;3;2442.68;3;Usado
